X,Y,NO_TUGU,X,Y,X_TM3,Y_TM3,icon_url
119.798487397222,-0.604279705555556,19001.000000,119.798487,-0.604280,344536.97037900001,1433171.59067000006,./0.png
119.850693405556,-0.633889738888889,19002.000000,119.850693,-0.633890,350348.34366100002,1429895.47305999999,./0.png
119.828886413889,-0.680013611111111,19003.000000,119.828886,-0.680014,347919.16595000000,1424795.10994000011,./0.png
119.741949902778,-0.671303719444444,19004.000000,119.741950,-0.671304,338240.87653399998,1425760.91012999997,./0.png
119.682559022222,-0.768106883333333,19005.000000,119.682559,-0.768107,331626.36036300001,1415057.36831000005,./0.png
119.782898872222,-0.75214055,19006.000000,119.782899,-0.752141,342797.15529800003,1416819.88378000003,./0.png
119.915785572222,-0.731294955555556,19007.000000,119.915786,-0.731295,357592.15948099998,1419120.77753999992,./0.png
119.919087541667,-0.787787244444444,19008.000000,119.919088,-0.787787,357957.72798899998,1412872.75263000000,./0.png
119.883194972222,-0.824052288888889,19009.000000,119.883195,-0.824052,353960.39548299997,1408863.33235999988,./0.png
119.823251016667,-0.849129766666667,19010.000000,119.823251,-0.849130,347286.00897500000,1406092.20274000010,./0.png
119.669876505556,-0.838619272222222,19011.000000,119.669877,-0.838619,330212.28420200001,1407260.02915000007,./0.png
119.609280741667,-0.836774855555556,19012.000000,119.609281,-0.836775,323466.90164200001,1407465.95659000007,./0.png
119.595059527778,-0.889201991666667,19013.000000,119.595060,-0.889202,321882.16549799999,1401668.80976000009,./0.png
119.570455555556,-0.920976880555555,19014.000000,119.570456,-0.920977,319142.33611400001,1398155.85323000001,./0.png
119.569317936111,-0.859489277777778,19015.000000,119.569318,-0.859489,319017.67544899997,1404955.36653000000,./0.png
119.779847130556,-0.967122258333333,19016.000000,119.779847,-0.967122,342449.44549999997,1393044.89145000000,./0.png
119.854842219444,-0.955423813888889,19017.000000,119.854842,-0.955424,350798.57870700001,1394335.43623999995,./0.png
119.87308665,-0.990714711111111,19018.000000,119.873087,-0.990715,352828.04616500001,1390431.61575000011,./0.png
119.916449305556,-0.950456144444444,19019.000000,119.916449,-0.950456,357657.25957800000,1394882.08193000010,./0.png
119.923255322222,-0.908853438888889,19020.000000,119.923255,-0.908853,358416.81147999997,1399482.93990000011,./0.png
