X,Y,NO_TUGU,X,Y,X_TM3,Y_TM3,icon_url
121.275144866667,0.496143841666667,19147.000000,121.275145,0.496144,,,./0.png
121.232128936111,0.460368613888889,19148.000000,121.232129,0.460369,,,./0.png
121.216096269444,0.495989566666667,19149.000000,121.216096,0.495990,,,./0.png
121.106246844444,0.465948172222222,19150.000000,121.106247,0.465948,,,./0.png
121.119404086111,0.412485269444444,19151.000000,121.119404,0.412485,,,./0.png
121.03863805,0.425929425,19152.000000,121.038638,0.425929,,,./0.png
121.052336422222,0.496515452777778,19153.000000,121.052336,0.496515,,,./0.png
120.973770152778,0.545552880555556,19154.000000,120.973770,0.545553,,,./0.png
120.954086725,0.423034019444444,19155.000000,120.954087,0.423034,,,./0.png
120.853180155556,0.452762527777778,19156.000000,120.853180,0.452763,,,./0.png
120.779497008333,0.484272775,19157.000000,120.779497,0.484273,,,./0.png
120.933471941667,0.511608847222222,19158.000000,120.933472,0.511609,,,./0.png
120.696801955556,0.514138844444445,19159.000000,120.696802,0.514139,110597.97169799999,1556850.48396000010,./0.png
120.717210555556,0.551373580555556,19160.000000,120.717211,0.551374,,,./0.png
120.598990016667,0.520381961111112,19161.000000,120.598990,0.520382,99710.00539270000,1557542.28264999995,./0.png
120.657638277778,0.662848130555556,19162.000000,120.657638,0.662848,,,./0.png
120.765770966667,0.580302163888889,19163.000000,120.765771,0.580302,,,./0.png
120.618187038889,0.741662891666667,19164.000000,120.618187,0.741663,,,./0.png
120.676533483333,0.740700830555555,19165.000000,120.676533,0.740701,,,./0.png
120.765883169444,0.815488591666667,19166.000000,120.765883,0.815489,,,./0.png
120.795941195278,0.897644491666667,19167.000000,120.795941,0.897644,,,./0.png
120.8598203,0.903487005555556,19168.000000,120.859820,0.903487,,,./0.png
120.825690802778,0.984812080555555,19169.000000,120.825691,0.984812,,,./0.png
120.725885780556,0.953757302777778,19170.000000,120.725886,0.953757,,,./0.png
120.637298041667,0.913642572222222,19171.000000,120.637298,0.913643,,,./0.png
119.860074755556,0.214437633333333,19232.000000,119.860075,0.214438,,,./0.png
119.878361813889,0.293490183333333,19233.000000,119.878362,0.293490,,,./0.png
119.879896755556,0.434096380555556,19234.000000,119.879897,0.434096,,,./0.png
119.970771930556,0.462352569444444,19235.000000,119.970772,0.462353,,,./0.png
120.061352719444,0.5041744,19236.000000,120.061353,0.504174,,,./0.png
120.032608508333,0.634911963888889,19237.000000,120.032609,0.634912,,,./0.png
120.054799322222,0.711666697222222,19238.000000,120.054799,0.711667,,,./0.png
120.129453936111,0.741629286111111,19239.000000,120.129454,0.741629,,,./0.png
119.934890680556,0.258090797222222,19252.000000,119.934891,0.258091,,,./0.png
119.921854052778,0.177496030555556,19253.000000,119.921854,0.177496,,,./0.png
119.832966502778,0.140711858333333,19254.000000,119.832967,0.140712,,,./0.png
119.898707497222,0.135865408333333,19255.000000,119.898707,0.135865,,,./0.png
119.881231911111,0.041830797222222,19256.000000,119.881232,0.041831,,,./0.png
120.833062341667,1.04651256666667,19295.000000,120.833062,1.046513,,,./0.png
120.801623705556,1.10378481666667,19296.000000,120.801624,1.103785,,,./0.png
120.8466681,1.11288306111111,19297.000000,120.846668,1.112883,,,./0.png
120.809532083333,1.16233171944444,19298.000000,120.809532,1.162332,,,./0.png
120.815682575,1.22726527777778,19299.000000,120.815683,1.227265,,,./0.png
120.822615986111,1.28598935277778,19300.000000,120.822616,1.285989,,,./0.png
120.869443397222,1.28958633888889,19301.000000,120.869443,1.289586,,,./0.png
120.930300655556,1.33405655833333,19302.000000,120.930301,1.334057,,,./0.png
121.013838672222,1.32099945277778,19303.000000,121.013839,1.320999,,,./0.png
121.129396108333,1.25520715555556,19304.000000,121.129396,1.255207,,,./0.png
121.184448225,1.263317225,19305.000000,121.184448,1.263317,,,./0.png
121.238041097222,1.22712142777778,19306.000000,121.238041,1.227121,,,./0.png
121.320069261111,1.2531131,19307.000000,121.320069,1.253113,,,./0.png
121.397392530556,1.25794584166667,19308.000000,121.397393,1.257946,,,./0.png
121.419037336111,1.19177394722222,19309.000000,121.419037,1.191774,,,./0.png
121.455013458333,1.13386429444444,19310.000000,121.455013,1.133864,,,./0.png
121.448237211111,1.07866040277778,19311.000000,121.448237,1.078660,194239.38230100001,1619260.35614000005,./0.png
121.455568147222,1.01457658333333,19312.000000,121.455568,1.014577,195055.13306200001,1612175.00404000003,./0.png
121.501757261111,1.088390425,19313.000000,121.501757,1.088390,200195.56279699999,1620336.09364999994,./0.png
121.56375645,1.06110744722222,19314.000000,121.563756,1.061107,207095.41845500001,1617319.66220999998,./0.png
121.648503066667,1.02984549722222,19315.000000,121.648503,1.029845,,,./0.png
121.710306338889,1.03311403888889,19316.000000,121.710306,1.033114,,,./0.png
121.7676756,1.059028825,19317.000000,121.767676,1.059029,,,./0.png
120.128155483333,0.189827838888889,19318.000000,120.128155,0.189828,,,./0.png
120.085019336111,0.146184161111111,19319.000000,120.085019,0.146184,,,./0.png
120.111651633333,0.108357736111111,19320.000000,120.111652,0.108358,,,./0.png
120.100605877778,0.033087619444444,19321.000000,120.100606,0.033088,,,./0.png
120.232996411111,0.710476333333333,19240.000000,120.232996,0.710476,,,./0.png
120.247606913889,0.823981802777778,19241.000000,120.247607,0.823982,,,./0.png
120.252829427778,0.934894422222222,19242.000000,120.252829,0.934894,,,./0.png
120.33584885,0.944128233333333,19243.000000,120.335849,0.944128,,,./0.png
120.349145588889,0.838015427777778,19244.000000,120.349146,0.838015,,,./0.png
120.416454580556,0.790677347222222,19245.000000,120.416455,0.790677,,,./0.png
120.5833191,0.747289336111111,19246.000000,120.583319,0.747289,,,./0.png
120.430061230556,0.481895991666667,19247.000000,120.430061,0.481896,,,./0.png
120.3640312,0.457344525,19248.000000,120.364031,0.457345,,,./0.png
120.28560025,0.390404816666667,19249.000000,120.285600,0.390405,,,./0.png
120.220555527778,0.306175719444444,19250.000000,120.220556,0.306176,,,./0.png
120.152129655556,0.226077386111111,19251.000000,120.152130,0.226077,,,./0.png
