X,Y,no,x,y,X_TM3,Y_TM3,icon_url
121.409489702778,1.16776971111111,19.08.011,121.409490,1.167770,,,./0.png
121.428076438889,1.16631458888889,19.08.012,121.428076,1.166315,,,./0.png
121.435247744444,1.15975410833333,19.08.013,121.435248,1.159754,,,./0.png
121.4124217,1.15412014722222,19.08.014,121.412422,1.154120,,,./0.png
121.365465472222,1.11254124166667,19.08.015,121.365465,1.112541,185027.97273300000,1623006.63678999990,./0.png
121.413303669444,1.124893425,19.08.016,121.413304,1.124893,190351.81735999999,1624372.14116999996,./0.png
121.45585725,1.13471118611111,19.08.017,121.455857,1.134711,,,./0.png
121.467893680556,1.124282075,19.08.018,121.467894,1.124282,196426.98146800001,1624304.42442999990,./0.png
121.457766077778,1.11265256666667,19.08.019,121.457766,1.112653,195299.89144899999,1623018.63763000001,./0.png
121.4276011,1.104489725,19.08.020,121.427601,1.104490,191942.88233200001,1622116.18867999990,./0.png
121.414451780556,1.09888615,19.08.021,121.414452,1.098886,190479.50409199999,1621496.67528000008,./0.png
121.376083641667,1.09643085277778,19.08.022,121.376084,1.096431,186209.57120499999,1621225.35776000004,./0.png
121.336015158333,1.093652225,19.08.023,121.336015,1.093652,181750.39415599999,1620918.35572000011,./0.png
121.435180413889,1.06669501944444,19.08.024,121.435180,1.066695,192786.27866899999,1617937.44717000006,./0.png
121.448365333333,1.07892960555556,19.08.025,121.448365,1.078930,194253.64137600001,1619290.11993999989,./0.png
121.457609094444,1.09368895,19.08.026,121.457609,1.093689,195282.39129299999,1620921.95100999996,./0.png
121.4893747,1.103513775,19.08.027,121.489375,1.103514,198817.53316900000,1622008.18809999991,./0.png
121.478411913889,1.08777200555555,19.08.028,121.478412,1.087772,197597.49565000000,1620267.72748999996,./0.png
121.458833069444,1.05631953888889,19.08.029,121.458833,1.056320,195418.54962899999,1616790.25108000007,./0.png
121.455046866667,1.03945383888889,19.08.030,121.455047,1.039454,194997.15787699999,1614925.52399999998,./0.png
